name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Сток Сити	Сандерленд	0.3	0.4	1.0	1.0	1.0	0.6612903225806451	0.5714285714285714	0.5	0.0	0.0
Сток Сити	Астон Вилла	0.6	0.4	1.0	1.0	0.2	0.5	0.4807692307692308	0.25	0.9393939393939394	0.9242424242424242
Сток Сити	Халл Сити	0.7	0.4	1.0	1.0	1.0	0.48369565217391297	0.5444444444444444	0.75	0.5714285714285714	0.7619047619047619
Сток Сити	Вест Бромвич Альбион	0.3	0.6	0.5	1.0	1.0	0.4	0.43333333333333335	0.75	0.0	0.0
Сток Сити	Норвич Сити	0.5	0.3	0.0	1.0	1.0	0.5666666666666667	0.6071428571428571	0.5	0.0	0.0
Сток Сити	Фулхэм	0.5	0.5	1.0	1.0	1.0	0.655	0.63	0.0	1.0	1.0
Ньюкасл Юнайтед	Манчестер Сити	0.5	1.0	0.0	1.0	1.0	0.2413793103448276	0.3103448275862069	0.0	0.8888888888888888	0.9814814814814816
Ньюкасл Юнайтед	Ливерпуль	0.6	0.7	0.5	0.4	0.4	0.275	0.3	0.25	0.0	0.0
Ньюкасл Юнайтед	Челси	0.3	0.9	1.0	0.0	1.0	0.22	0.2631578947368421	0.5	0.0	0.0
Ньюкасл Юнайтед	Арсенал	0.7	0.6	0.0	1.0	1.0	0.3909090909090909	0.3888888888888889	0.0	0.9833333333333332	0.9666666666666668
Ньюкасл Юнайтед	Эвертон	0.6	0.6	0.0	0.2	1.0	0.4157303370786517	0.4111111111111111	0.0	0.7333333333333334	0.9333333333333332
Ньюкасл Юнайтед	Тоттенхэм Хотспур	0.3	0.7	0.0	0.2	1.0	0.4861111111111111	0.3648648648648649	0.5	0.7948717948717949	0.9487179487179488
Ньюкасл Юнайтед	Манчестер Юнайтед	0.4	0.6	0.0	0.6	1.0	0.3776595744680851	0.4148936170212766	0.5	0.4444444444444444	0.8888888888888888
Ньюкасл Юнайтед	Саутгемптон	0.8	0.3	0.5	1.0	1.0	0.4318181818181818	0.5555555555555556	0.5	0.9855072463768116	0.9420289855072465
Ньюкасл Юнайтед	Сток Сити	0.7	0.6	1.0	1.0	1.0	0.5612244897959183	0.6730769230769231	0.5	0.9365079365079364	0.8888888888888888
Ньюкасл Юнайтед	Кристал Пэлас	0.4	0.4	1.0	0.0	1.0	0.6012658227848101	0.6785714285714286	0.5	0.6666666666666667	0.875
Ньюкасл Юнайтед	Суонси Сити	0.2	0.3	0.0	1.0	1.0	0.4521276595744681	0.6274509803921569	0.0	1.0	1.0
Ньюкасл Юнайтед	Сандерленд	0.3	0.6	0.0	1.0	1.0	0.6285714285714286	0.7285714285714285	0.0	1.0	1.0
Ньюкасл Юнайтед	Астон Вилла	0.3	0.4	1.0	0.4	0.2	0.5202702702702703	0.6153846153846154	1.0	0.7777777777777778	0.9166666666666666
Ньюкасл Юнайтед	Вест Бромвич Альбион	0.7	0.5	1.0	0.6	1.0	0.5	0.6190476190476191	0.75	0.0	0.0
Ньюкасл Юнайтед	Норвич Сити	0.7	0.3	1.0	0.4	1.0	0.6774193548387097	0.6428571428571428	0.75	0.0	0.0
Ньюкасл Юнайтед	Кардифф Сити	0.0	0.4	1.0	1.0	1.0	0.6	0.66	0.5	1.0	1.0
Кристал Пэлас	Манчестер Сити	1.0	0.6	0.0	1.0	1.0	0.1479591836734694	0.19607843137254904	0.0	1.0	1.0
Кристал Пэлас	Ливерпуль	0.8	0.8	0.5	1.0	1.0	0.1875	0.13	0.0	1.0	1.0
Кристал Пэлас	Челси	0.2	0.8	1.0	1.0	0.2	0.17934782608695654	0.04444444444444445	0.0	0.8571428571428572	0.9523809523809524
Кристал Пэлас	Манчестер Юнайтед	0.6	0.4	0.0	1.0	0.4	0.3219178082191781	0.28378378378378377	0.5	0.9444444444444444	0.9166666666666666
Кристал Пэлас	Саутгемптон	0.5	0.5	0.0	1.0	1.0	0.36184210526315785	0.35714285714285715	0.5	0.9333333333333332	0.7
Кристал Пэлас	Сток Сити	0.3	0.3	1.0	1.0	1.0	0.4583333333333333	0.41935483870967744	0.0	0.9803921568627452	0.9215686274509804
Кристал Пэлас	Астон Вилла	0.5	0.4	1.0	1.0	0.0	0.484375	0.5	0.5	1.0	1.0
Кристал Пэлас	Халл Сити	0.5	0.2	1.0	1.0	1.0	0.4318181818181818	0.5	0.5	0.9166666666666666	0.9166666666666666
Кристал Пэлас	Вест Бромвич Альбион	0.5	0.4	1.0	1.0	1.0	0.4166666666666667	0.5	0.5	0.9761904761904762	0.9761904761904762
Кристал Пэлас	Норвич Сити	0.4	0.4	0.5	1.0	1.0	0.5	0.44642857142857145	0.0	0.6842105263157895	0.9473684210526316
Кристал Пэлас	Кардифф Сити	0.5	0.4	1.0	1.0	1.0	0.4418604651162791	0.4230769230769231	0.5	0.0	0.0
Суонси Сити	Манчестер Сити	0.3	0.9	0.0	1.0	1.0	0.19090909090909086	0.14285714285714285	0.25	0.912280701754386	0.9824561403508772
Суонси Сити	Челси	0.3	0.6	0.0	1.0	0.2	0.2631578947368421	0.1020408163265306	0.0	1.0	1.0
Суонси Сити	Арсенал	0.5	0.8	0.0	1.0	1.0	0.34375	0.2727272727272727	0.0	0.0	0.0
Суонси Сити	Эвертон	0.6	0.8	0.0	1.0	1.0	0.3877551020408163	0.28846153846153844	0.25	0.9090909090909092	0.9848484848484848
Суонси Сити	Тоттенхэм Хотспур	0.1	0.9	0.0	1.0	1.0	0.4609375	0.2121212121212121	0.0	0.9607843137254902	0.9803921568627452
Суонси Сити	Саутгемптон	0.6	0.5	0.0	1.0	0.4	0.46	0.37	0.25	1.0	1.0
Суонси Сити	Сток Сити	0.3	0.2	0.5	1.0	1.0	0.5625	0.5476190476190477	0.5	0.0	0.0
Суонси Сити	Ньюкасл Юнайтед	0.4	0.8	1.0	1.0	0.8	0.4634146341463415	0.32608695652173914	1.0	0.0	0.0
