name1	name2	concentration1	concentration2
Фулхэм	Сандерленд	1.0	1.0
Фулхэм	Астон Вилла	1.0	1.0
Фулхэм	Халл Сити	1.0	1.0
Фулхэм	Вест Бромвич Альбион	0.19999999999999996	1.0
Фулхэм	Норвич Сити	1.0	1.0
Фулхэм	Кардифф Сити	0.6	1.0
Кардифф Сити	Манчестер Сити	1.0	1.0
Кардифф Сити	Ливерпуль	1.0	1.0
Кардифф Сити	Челси	1.0	0.4
Кардифф Сити	Арсенал	1.0	1.0
Кардифф Сити	Эвертон	1.0	1.0
Кардифф Сити	Тоттенхэм Хотспур	1.0	0.19999999999999996
Кардифф Сити	Манчестер Юнайтед	1.0	1.0
Кардифф Сити	Саутгемптон	1.0	1.0
Кардифф Сити	Сток Сити	1.0	1.0
Кардифф Сити	Ньюкасл Юнайтед	1.0	0.19999999999999996
Кардифф Сити	Кристал Пэлас	1.0	1.0
Кардифф Сити	Суонси Сити	1.0	1.0
Кардифф Сити	Вест Хэм Юнайтед	1.0	1.0
Кардифф Сити	Сандерленд	1.0	1.0
Кардифф Сити	Астон Вилла	1.0	0.0
Кардифф Сити	Халл Сити	1.0	1.0
Кардифф Сити	Вест Бромвич Альбион	1.0	1.0
Кардифф Сити	Норвич Сити	1.0	1.0
Кардифф Сити	Фулхэм	1.0	1.0
