name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Ливерпуль	Сандерленд	0.6	0.6	1.0	1.0	1.0	0.6	0.5714285714285714	0.25	0.9074074074074074	0.925925925925926
Ливерпуль	Уиган Атлетик	0.6	0.5	1.0	1.0	1.0	0.5740740740740741	0.5217391304347826	0.25	0.0	0.0
Ливерпуль	Рединг	0.4	0.2	1.0	1.0	1.0	0.5434782608695652	0.5882352941176471	0.5	0.0	0.0
Ливерпуль	Куинз Парк Рейнджерс	0.7	0.1	1.0	1.0	1.0	0.8888888888888888	0.7619047619047619	0.5	1.0	1.0
Вест Бромвич Альбион	Манчестер Юнайтед	0.3	0.6	0.5	0.0	1.0	0.1736111111111111	0.18253968253968256	0.0	1.0	1.0
Вест Бромвич Альбион	Манчестер Сити	0.7	0.8	0.0	0.6	1.0	0.43478260869565216	0.4705882352941176	0.25	0.0	0.0
Вест Бромвич Альбион	Челси	0.6	0.6	1.0	1.0	1.0	0.3703703703703704	0.4130434782608696	0.5	0.0	0.0
Вест Бромвич Альбион	Арсенал	0.5	0.8	0.0	1.0	1.0	0.3	0.4166666666666667	0.0	0.6666666666666666	0.9047619047619048
Вест Бромвич Альбион	Тоттенхэм Хотспур	0.1	0.7	0.0	0.4	1.0	0.3909090909090909	0.4111111111111111	0.25	0.8333333333333333	0.9761904761904762
Вест Бромвич Альбион	Суонси Сити	0.4	0.5	1.0	1.0	1.0	0.46875	0.5	0.0	0.8333333333333333	0.8333333333333333
Вест Бромвич Альбион	Вест Хэм Юнайтед	0.4	0.3	0.5	1.0	1.0	0.5294117647058824	0.5606060606060606	0.5	0.9848484848484848	0.9393939393939394
Вест Бромвич Альбион	Норвич Сити	0.3	0.8	1.0	1.0	1.0	0.6323529411764706	0.5303030303030303	0.0	0.9682539682539684	0.9682539682539684
Вест Бромвич Альбион	Фулхэм	0.5	0.3	0.0	1.0	1.0	0.5978260869565217	0.6538461538461539	0.25	0.9444444444444444	0.9444444444444444
Вест Бромвич Альбион	Сток Сити	0.8	0.7	0.0	1.0	1.0	0.5757575757575758	0.625	0.5	0.0	0.0
Вест Бромвич Альбион	Астон Вилла	0.4	0.1	0.5	0.0	1.0	0.75	0.6707317073170732	0.5	0.9791666666666666	0.6875
Вест Бромвич Альбион	Ньюкасл Юнайтед	0.3	0.4	0.5	1.0	1.0	0.6194029850746269	0.5701754385964912	0.0	1.0	1.0
Вест Бромвич Альбион	Сандерленд	0.3	0.5	1.0	0.8	1.0	0.5625	0.5833333333333334	1.0	0.8611111111111112	0.8611111111111112
Вест Бромвич Альбион	Уиган Атлетик	0.4	0.4	0.0	1.0	1.0	0.676056338028169	0.6333333333333333	0.75	1.0	1.0
Вест Бромвич Альбион	Куинз Парк Рейнджерс	0.6	0.2	1.0	0.4	1.0	0.8529411764705883	0.8214285714285714	0.75	0.0	0.0
Суонси Сити	Манчестер Юнайтед	0.5	1.0	0.5	1.0	1.0	0.2857142857142857	0.2121212121212121	0.0	0.8888888888888888	0.9523809523809524
Суонси Сити	Манчестер Сити	0.2	0.8	0.5	1.0	1.0	0.28169014084507044	0.2583333333333333	0.5	1.0	1.0
Суонси Сити	Челси	0.3	0.8	0.5	1.0	1.0	0.27083333333333337	0.21052631578947367	0.25	0.0	0.0
Суонси Сити	Арсенал	0.4	0.7	0.0	1.0	1.0	0.3650793650793651	0.4270833333333333	0.25	0.8148148148148148	0.925925925925926
Суонси Сити	Тоттенхэм Хотспур	0.4	0.6	0.0	1.0	0.0	0.4047619047619048	0.3627450980392157	0.0	0.6666666666666667	0.9583333333333334
Суонси Сити	Ливерпуль	0.6	0.7	0.5	1.0	1.0	0.5161290322580645	0.5192307692307693	1.0	0.0	0.0
Суонси Сити	Вест Бромвич Альбион	0.5	0.8	1.0	1.0	1.0	0.4032258064516129	0.32	1.0	0.0	0.0
Суонси Сити	Норвич Сити	0.8	0.7	0.0	1.0	1.0	0.7121212121212122	0.5666666666666667	0.0	0.9565217391304348	0.9420289855072465
Суонси Сити	Фулхэм	0.4	0.0	0.0	1.0	0.2	0.5833333333333334	0.5476190476190477	1.0	1.0	1.0
Суонси Сити	Сток Сити	0.6	0.4	1.0	1.0	1.0	0.5769230769230769	0.5121951219512195	0.0	0.9166666666666666	0.8958333333333334
Суонси Сити	Саутгемптон	0.3	0.8	0.5	1.0	1.0	0.5597014925373134	0.5263157894736842	0.25	1.0	1.0
